title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,444 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,693 ratings",Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,53 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"4,579 ratings",Not Available
PlayStation 4 Console 500 GB (Renewed),,5.0 out of 5 stars,3 ratings,Not Available
"Wireless Controller Dual Vibration Game Joystick Controller for PS4/ Slim/Pro,Compatible with PS4 Console",,4.1 out of 5 stars,"1,503 ratings",Not Available
"Charger Dock Station for PS4, 1.8 Hrs Fast Charging for PS4 Charging Station, with LED Indicator Charging Chip, Dual USB Charger Dock for PS4/PS4 Slim/PS4 Pro Charger",,4.6 out of 5 stars,"14,400 ratings",Not Available
OWC 2.0 TB External Hard Drive Upgrade for Sony Playstation 4,,4.8 out of 5 stars,64 ratings,Not Available
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,818 ratings",Not Available
OWC 2.0TB Drive Upgrade Kit for Sony Playstation 4 (PS4),,4.5 out of 5 stars,"1,573 ratings",Not Available
"PS4 Controller Wireless, with USB Cable/1000mAh Battery/Dual Vibration/6-Axis Motion Control/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",,4.2 out of 5 stars,"2,528 ratings",Not Available
"AceGamer Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joystick for PS4, Compatible with PS4, Slim, Pro and Windows PC",,4.2 out of 5 stars,"1,974 ratings",Not Available
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"37,790 ratings",Not Available
WWE 2K24 - PlayStation 4,,4.6 out of 5 stars,59 ratings,Not Available
"Wireless Controller Compatible with Ps4/Ps4 Slim/Ps4 Pro, Wireless Gams Controller with Dual Vibration, 6-Axis Motion, Audio Function",,4.8 out of 5 stars,15 ratings,Not Available
